Book,Chapter,Verse,Content
창세기,2,19,여호와 하나님 들다 짐승 공중 지다 아담 부르다 이끌다 가시다 아담 생물 부르다 이름 되어다
창세기,2,20,아담 모든 가축 공중 들다 모든 짐승 이름 주니 아담 돕다 배필
창세기,2,21,여호와 하나님 아담 깊이 잠들다 잠들다 갈빗대 취하 살로 대신 채우다
창세기,2,22,여호와 하나님 아담 취하 갈빗대 여자 만들다 아담 이끌다 오시
창세기,2,23,아담 살이 남자 취하 여자 부르다 하니
창세기,2,24,남자 부모 떠나다 아내 이루다
창세기,2,25,아담 아내 벌겋다 벗다 부끄럽다
창세기,3,1,불순종 하나님 심판 선언 여호와 하나님 지다 들다 짐승 간교 여자 물어 하나님 참으로 동산 모든 나무 열매 먹다 말르다
창세기,3,2,여자 말다 동산 나무 열매 먹다
창세기,3,3,동산 중앙 나무 열매 하나님 말씀 먹다 지지도 말르다 죽다 하노
창세기,3,4,여자 결코 죽지
창세기,3,5,먹다 밝아지다 하나님 되어다 선악 하나님 아심
창세기,3,6,여자 나무 먹음 직도 직도 지혜롭 스럽다 기도 나무 인지 여자 열매 따먹다 남편 주다 먹다
창세기,3,7,밝아지다 벗다 무화과나무 엮어 치마 삼다
창세기,3,8,바람 동산 니시 여호와 하나님 소리 듣다 아담 아내 여호와 하나님 피하 동산 나무 사이 숨다
창세기,3,9,여호와 하나님 아담 부르다
창세기,3,10,동산 하나님 소리 듣다 벗다 두렵다 숨다
창세기,3,11,벗다 알리다 먹다 말르다 나무 열매 먹다
창세기,3,12,아담 하나님 주다 나오다 여자 나무 열매 내다 주다 먹다
창세기,3,13,여호와 하나님 여자 여자 나르다 꾀다 먹다
창세기,3,14,여호와 하나님 모든 가축 들다 모든 짐승 더욱 저주 받다 다니다 먹다
창세기,3,15,여자 원수 후손 여자 후손 원수 하리 여자 후손 머리 상하 발꿈치 상하
창세기,3,16,여자 임신 고통 크게 더하다 수고 자식 낳을 남편 원하다 남편 다스리다
창세기,3,17,아담 아내 듣다 먹다 말르다 나무 열매 먹다 저주 받다 평생 수고 소산 먹다
창세기,3,18,가시 덤불 엉겅퀴 먹다 채소
창세기,3,19,돌아가다 얼굴 흘리다 먹다 먹다 취함 입다 돌아가다
창세기,3,20,아담 아내 이름 하와 부르다 모든 자의 어머니
창세기,3,21,여호와 하나님 아담 아내 가죽 지다 입히다
창세기,3,22,아담 하와 쫓아내다 여호와 하나님 보라 선악 알다 되어다 들다 생명 나무 열매 따먹다 영생 하노
창세기,3,23,여호와 하나님 에덴 동산 내보내다 근원 갈다
창세기,3,24,하나님 쫓아내다 에덴 동산 동쪽 그룹 두루 두다 생명 나무 지키다
창세기,4,1,가인 아벨 아담 아내 하와 침하 하와 임신 가인 낳다 여호와 득남 하니
창세기,4,2,가인 아우 아벨 낳다 아벨 치다 자다 가인 농사 자다
창세기,4,3,세월 지난 가인 소산 제물 삼다 여호와 드리다
창세기,4,4,아벨 새끼 기름 드리다 여호와 아벨 제물 받다
창세기,4,5,가인 제물 받다 신지 가인 몹시 분하다 안색 변하다
창세기,4,6,여호와 가인 분하다 안색 변하다
창세기,4,7,들다 엎드리다 다스리다
창세기,4,8,가인 아우 아벨 들다 가인 아우 아벨 치다 죽이다
창세기,4,9,여호와 가인 아우 아벨 아우르다 지키다 자다
창세기,4,10,아우 핏소리 내다 호소
창세기,4,11,벌리다 아우 받다 저주 받다
창세기,4,12,갈다 다시다 효력 주지 피하 유리하다 자가
창세기,4,13,가인 여호와 아뢰다 죄짐 지기 무겁다
창세기,4,14,오늘 지면 나르다 쫓아내다 주의 뵈다 하리 피하 유리하다 자가 무릇 나르다 만나다 나르다 죽이다
창세기,4,15,여호와 가인 죽이다 자다 받다 가인 주사 만나다 모든 죽이다
창세기,4,16,가인 자손 가인 여호와 떠나다 에덴 동쪽 거주
창세기,4,17,아내 침하 임신 에녹 낳다 가인 쌓다 아들 이름 이름 에녹 하니
창세기,4,18,에녹 이랏 낳다 이랏 므후야엘 낳다 므후야엘 므드사엘 낳다 므드사엘 라멕 낳다
창세기,4,19,라멕 아내 맞이 이름 이름
창세기,4,20,달다 낳다 장막 거주 가축 치다 자의 조상 되어다
창세기,4,21,아우 이름 유발 수금 퉁소 잡다 모든 자의 조상 되어다
창세기,4,22,두발 가인 낳다 구리 여러 가지 기구 만들다 두발 가인 나다
창세기,4,23,라멕 아내 오다 씰라 목소리 들다 라멕 아내 들다 상처 죽이다 상함 소년 죽이다
창세기,4,24,가인 벌이 일진 라멕 벌이 칠십칠 배다
창세기,4,25,노스 아담 아내 침하 아들 낳다 이름 하나님 내다 가인 죽이다 아벨 대신 주다
창세기,4,26,아들 낳다 이름 노스 여호와 이름 부르다
창세기,5,1,아담 계보 아담 계보 적다 하나님 창조 하나님 모양 지다
창세기,5,2,남자 여자 창조 창조 하나님 주시 이름 일컬으셨더
창세기,5,3,아담 백삼십 모양 형상 아들 낳다 이름
창세기,5,4,아담 낳다 팔백 지내다 자녀 낳다
창세기,5,5,구백삼십 죽다
창세기,5,6,백오 노스 낳다
창세기,5,7,노스 낳다 팔백칠 지내다 자녀 낳다
창세기,5,8,구백십이 죽다
창세기,5,9,노스 게난 낳다
창세기,5,10,게난 낳다 팔백십오 지내다 자녀 낳다
창세기,5,11,구백오 죽다
창세기,5,12,칠십 마할랄렐 낳다
창세기,5,13,마할랄렐 낳다 팔백사십 지내다 자녀 낳다
창세기,5,14,구백십 죽다
창세기,5,15,마할랄렐 육십오 야렛 낳다
창세기,5,16,야렛 낳다 팔백삼십 지내다 자녀 낳다
창세기,5,17,팔백구십오 죽다
창세기,5,18,야렛 백육십이 에녹 낳다
창세기,5,19,에녹 낳다 팔백 지내다 자녀 낳다
창세기,5,20,구백육십이 죽다
창세기,5,21,에녹 육십오 므두셀라 낳다
창세기,5,22,므두셀라 낳다 삼백 하나님 동행 자녀 낳다
창세기,5,23,삼백육십오 살다
창세기,5,24,에녹 하나님 동행 하나님 데려가다 세상
창세기,5,25,므두셀라 백팔십칠 라멕 낳다
창세기,5,26,라멕 낳다 칠백팔십이 지내다 자녀 낳다
창세기,5,27,구백육십구 죽다
창세기,5,28,라멕 백팔십이 아들 낳다
창세기,5,29,이름 노아 여호와 저주 아들 안위 하리
창세기,5,30,라멕 노아 낳다 오백구십오 지내다 자녀 낳다
창세기,5,31,칠백칠십칠 죽다
창세기,5,32,노아 오백 야벳 낳다
창세기,6,1,죄악 번성 시작 나니
창세기,6,2,하나님 아들 아름답다 좋아하다 모든 여자 아내 사다
창세기,6,3,여호와 영원하다 사람과 육신 백이십
창세기,6,4,당시 네피림 하나님 아들 들어오다 자식 낳다 사라 고대 명성 들이다
창세기,6,5,여호와 죄악 세상 가득하다 마음 모든 계획 항상 악하다
창세기,6,6,지다 한탄 하사 마음 근심
창세기,6,7,창조 지면 쓸다 버리다 가축 기다 공중 그리다 지다 한탄
창세기,6,8,노아 여호와 은혜 입다
창세기,6,9,노아 족보 노아 족보 노아 의인 당대 완전하다 자라 하나님 동행
창세기,6,10,아들 낳다 야벳
창세기,6,11,하나님 부패하다 포악하다 가득하다
창세기,6,12,하나님 보신 부패하다 모든 혈육 자의 행위 부패하다
창세기,6,13,하나님 노아 모든 혈육 자의 포악하다 가득하다 이르렀으 멸하리
창세기,6,14,고페르 나무 방주 만들다 막다 역청 안팎 하라
창세기,6,15,만들다 주다 이러하다 길이 삼백 규빗 너비 오십 규빗 높이다 삼십 규빗
창세기,6,16,거기 내다 규빗 내다 내다
창세기,6,17,홍수 일으키다 무릇 생명 기운 모든 육체 천하 멸절 하리 죽다
창세기,6,18,언약 세우다 아들 아내 며느리 주로 들어가다
창세기,6,19,혈육 모든 생물 각기 암수 주로 이끌다 들이다 생명 보존
창세기,6,20,종류 가축 종류 기다 모든 종류 각기 게로 나다 생명 보존 하라
창세기,6,21,먹다 모든 양식 게로 가다 축하 먹다
창세기,6,22,노아 하나님 준행
창세기,7,1,홍수 여호와 노아 집다 주로 들어가다 세대 로움
창세기,7,2,모든 정결 짐승 암수 부정 암수 게로 데려오다
창세기,7,3,공중 새다 암수 데려오다 지면 유전 하라
창세기,7,4,사다 주야 내다 지은 모든 생물 지면 쓸다 버리다
창세기,7,5,노아 여호와 준행
창세기,7,6,홍수 노아 육백 세라
창세기,7,7,노아 아들 아내 며느리 홍수 피하 방주 들어가다
창세기,7,8,정결 짐승 부정 짐승 기다 모든
창세기,7,9,하나님 노아 암수 노아 나다 주로 들어가다
창세기,7,10,홍수 덮이다
창세기,7,11,노아 육백 둘째 이렛날 크다 깊다 터지다 하늘 창문 열리다
창세기,7,12,사다 주야 쏟아지다
창세기,7,13,노아 아들 야벳 노아 아내 며느리 주로 들어가다
창세기,7,14,모든 들다 짐승 종류 모든 가축 종류 기다 모든 종류 모든 종류
창세기,7,15,무릇 생명 기운 육체 노아 나다 주로 들어가다
창세기,7,16,들어가다 모든 암수 하나님 들어가다 여호와 들이다 보내다 닫다
창세기,7,17,홍수 사다 계속 물이 많아지다 주가 떠오르다
창세기,7,18,물이 많아지다 넘치다 주가 뜨다 다니다
창세기,7,19,물이 더욱 넘치다 천하 높다 산이 잠기다
창세기,7,20,물이 불어 십오 규빗 산들 잠기다
창세기,7,21,움직이다 생물 죽다 가축 들다 짐승 기다 모든 모든
창세기,7,22,육지 생명 기운 죽다
창세기,7,23,지면 모든 생물 쓸다 버리다 사람과 가축 기다 공중 새다 지라 쓸다 버리다 당하다 노아 방주 남다
창세기,7,24,물이 백오십 넘치다
창세기,8,1,홍수 그치다 하나님 노아 방주 모든 들다 짐승 가축 기억 하사 하나님 바람 물이 줄어들다
창세기,8,2,깊다 하늘 창문 닫히다 하늘 치매
창세기,8,3,물이 물르다 물르다 백오십 줄어들다
창세기,8,4,이렛날 주가 아라랏 머무르다
창세기,8,5,물이 줄어들다 룻날 산들 봉우리 보이다
창세기,8,6,사다 지나다 노아 방주 내다 창문 열다
창세기,8,7,까마귀 내놓다 까마귀 물이 마르다 왕래
창세기,8,8,비둘기 내놓다 지면 물이 줄어들다 알다
창세기,8,9,지면 물이 비둘기 붙이다 찾다 주로 돌아오다 오다 내미다 방주 받아들이다
창세기,8,10,기다리다 비둘기 방주 내놓다
창세기,8,11,저녁때 비둘기 돌아오다 감람나무 잎사귀 노아 물이 줄어들다 알다
창세기,8,12,기다리다 비둘기 내놓다 다시다 돌아오다
창세기,8,13,육백일 첫째 룻날 물이 걷히다 노아 방주 뚜껑 지면 물이 걷히다
창세기,8,14,둘째 이렛날 마르다
창세기,8,15,하나님 노아 말씀
창세기,8,16,아내 아들 며느리 방주 나오다
창세기,8,17,모든 혈육 생물 가축 기다 모든 이끌다 생육 번성 하리
창세기,8,18,노아 아들 아내 며느리 나오다
창세기,8,19,동물 모든 짐승 모든 기다 모든 새다 종류 방주 나오다
창세기,8,20,노아 번제 드리다 노아 여호와 제단 쌓다 모든 정결 짐승 모든 정결 제물 취하 제로 제단 드리다
창세기,8,21,여호와 향기 받다 중심 다시다 저주 마음 계획 어리다 악하다 모든 생물 멸하
창세기,8,22,심음 거두다 추위 더위 여름 겨울
창세기,9,1,하나님 노아 언약 세우다 하나님 노아 아들 주시 생육 번성 충만
창세기,9,2,모든 짐승 공중 모든 기다 모든 바다 모든 물고기 두렵다 무섭다 붙이다
창세기,9,3,모든 동물 먹다 채소 주노
창세기,9,4,고기 생명 먹다
창세기,9,5,생명 찾다 짐승 이면 짐승 형제 생명 찾다
창세기,9,6,흘리다 흘리다 하나님 형상 지다
창세기,9,7,생육 번성 가득하다 번성
창세기,9,8,하나님 노아 아들 말씀
창세기,9,9,언약 후손
창세기,9,10,모든 생물 가축 모든 생물 세우다 방주 나오다 모든 모든 짐승
창세기,9,11,언약 세우다 다시다 모든 생물 홍수 멸하 멸할 홍수
창세기,9,12,하나님 나오다 모든 생물 사이 대대로 영원하다 세우다 언약 증거
창세기,9,13,무지개 구름 두다 나오다 세상 사이 언약 증거
창세기,9,14,구름 덮다 무지개 구름 나타나다
창세기,9,15,나오다 육체 가지다 모든 생물 사이 언약 하리 다시다 물이 모든 육체 멸하 홍수
창세기,9,16,무지개 구름 사이 하나님 모든 육체 가지다 모든 생물 사이 영원하다 언약 하리
창세기,9,17,하나님 노아 나오다 모든 생물 사이 세운 언약 증거
창세기,9,18,노아 아들 방주 나오다 노아 아들 야벳 가나안 아버지
창세기,9,19,노아 아들 퍼지다
창세기,9,20,노아 농사 시작 포도나무 심다
창세기,9,21,포도주 말다 취하 장막 벌겋다 벗다
창세기,9,22,가나안 아버지 아버지 하체 나가다 형제 알리다
창세기,9,23,야벳 가다 어깨 메다 뒷걸음 치다 들어가다 아버지 하체 덮다 얼굴 돌이키다 아버지 하체 보지
창세기,9,24,노아 깨다 작다 아들
창세기,9,25,가나안 저주 받다 형제 종이 기르다 원하다
창세기,9,26,하나님 여호와 찬송 하리 가나안 종이
창세기,9,27,하나님 야벳 대하 하사 장막 가나안 종이 기르다 원하다
창세기,9,28,홍수 노아 삼백오십 살다
창세기,9,29,나이 구백오십 되어다 죽다
창세기,10,1,노아 아들 족보 대상 노아 아들 야벳 족보 이러하다 홍수 아들 낳다
창세기,10,2,야벳 아들 고멜 마곡 마대 야완 두발 메섹 라스
창세기,10,3,고멜 아들 아스 나스 밧다 갈다
창세기,10,4,야완 아들 엘리사 시스 깃딤 다니다
창세기,10,5,여러 나라 백성 나뉘다 각기 언어 종족 나라 바닷가 머무르다
창세기,10,6,아들 구스 미스 라임 가나안
창세기,10,7,구스 아들 스바 하윌라 사다 삽드가 아들 스바 드단
창세기,10,8,구스 니므롯 낳다 세상 사라
창세기,10,9,여호와 용감하다 사냥꾼 되어다 속담 기르다 아물다 여호와 니므롯 용감하다 사냥꾼
창세기,10,10,나라 바벨 에렉 악갓 갈레 시작 되어다
창세기,10,11,수르 나아가다 니느웨 르호보딜 갈라
창세기,10,12,니느웨 갈라 사이 레센 건설 크다
창세기,10,13,미스 라임 루딤 아나밈 하비다
창세기,10,14,드루 가슬루힘 도림 낳다 가슬루힘 블레셋 나오다
창세기,10,15,가나안 장자 시돈 낳다
창세기,10,16,부스 족속 아모리 족속 기르다 가스 족속
창세기,10,17,족속 족속 족속
창세기,10,18,아르 족속 스말 족속 족속 낳다 가나안 자손 족속 흩어지다 나아가다
창세기,10,19,가나안 경계 시돈 지나 가사 소돔 고모라 아드마 스보임 지나 라사
창세기,10,20,자손 각기 족속 언어 지방 나라
창세기,10,21,자손 상이 야벳 자녀 출생
창세기,10,22,아들 엘람 수르 아르박삿 아람
창세기,10,23,아람 아들 우스 게델 마스
창세기,10,24,아르박삿 셀라 낳다 셀라 낳다
창세기,10,25,아들 낳다 이름 세상 나뉘다 이요 아우 이름 욕단
창세기,10,26,욕단 셀렙 살다 오다
창세기,10,27,디글 오다
창세기,10,28,오발 아비 스바
창세기,10,29,오빌 하윌라 낳다 욕단 아들
창세기,10,30,거주 메사 스발 가다 동쪽 사다
창세기,10,31,자손 족속 언어 지방 나라
창세기,10,32,백성 족보 따르다 노아 자손 족속 들이다 홍수 백성 나뉘다
창세기,11,1,바벨 언어 하나요
창세기,11,2,동방 옮기다 평지 만나다 거기 거류
창세기,11,3,서로 말다 벽돌 만들다 견고하다 굽다 벽돌 대신 역청 진흙 대신
창세기,11,4,말다 건설 꼭대기 하늘 닿다 이름 내다 지면 흩어지다
창세기,11,5,여호와 건설 내려오다
창세기,11,6,여호와 무리 족속 언어 시작
창세기,11,7,내려가다 거기 언어 혼잡하다 서로 알아듣다 하자
창세기,11,8,여호와 거기 지면 흩다 도시 건설 그치다
창세기,11,9,이름 바벨 하니 여호와 거기 언어 혼잡하다 여호와 거기 지면 흩다
창세기,11,10,족보 대상 족보 이러하다 홍수 아르박삿 낳다
창세기,11,11,아르박삿 낳다 오백 지내다 자녀 낳다
창세기,11,12,아르박삿 삼십오 셀라 낳다
창세기,11,13,셀라 낳다 사백삼 지내다 자녀 낳다
창세기,11,14,셀라 삼십 낳다
창세기,11,15,낳다 사백삼 지내다 자녀 낳다
창세기,11,16,삼십사 낳다
창세기,11,17,낳다 사백삼십 지내다 자녀 낳다
창세기,11,18,삼십 르우 낳다
창세기,11,19,르우 낳다 이백구 지내다 자녀 낳다
창세기,11,20,르우 삼십이 스룩 낳다
창세기,11,21,스룩 낳다 이백칠 지내다 자녀 낳다
창세기,11,22,스룩 삼십 나홀 낳다
창세기,11,23,나홀 낳다 이백 지내다 자녀 낳다
창세기,11,24,나홀 이십구 낳다
창세기,11,25,낳다 백십구 지내다 자녀 낳다
창세기,11,26,칠십 아브람 나홀 하란 낳다
창세기,11,27,족보 족보 이러하다 아브람 나홀 하란 낳다 하란 낳다
창세기,11,28,하란 아비 라보 먼저 고향 갈대 아인 우르 죽다
창세기,11,29,아브람 나홀 장가 들다 아브람 아내 이름 사래 나홀 아내 이름 밀다 하란 따다 하란 밀다 아버지 이스 가의 아버지
창세기,11,30,사래 임신 하므다 자식
창세기,11,31,라가 아들 아브람 하란 아들 손자 며느리 아브람 아내 사래 데리 갈대 아인 떠나다 가나안 가다 하란 거기 거류
창세기,11,32,나이 이백오 되어다 하란 죽다
창세기,12,1,여호와 아브람 여호와 아브람 고향 친척 아버지 떠나다 보이다 가라
창세기,12,2,크다 민족 이루다 주어 이름 대하 하리
창세기,12,3,축복 내리다 저주 하리 모든 족속 얻다
창세기,12,4,아브람 여호와 말씀 따라가다 가다 아브람 하란 떠나다 칠십오 세다
창세기,12,5,아브람 아내 사래 조카 하란 모으다 모든 소유 얻다 이끌다 가나안 가다 떠나다 마침내 가나안 들어가다
창세기,12,6,아브람 지나 모레 상수리나무 가나안 거주
창세기,12,7,여호와 아브람 나타나다 자손 주리 나타나다 여호와 제단 쌓다
창세기,12,8,거기 동쪽 옮기다 장막 치다 서쪽 벧엘이 동쪽 여호와 제단 쌓다 여호와 이름 부르다
창세기,12,9,남방 옮기다 가다
창세기,12,10,아브람 애굽 내려가다 기근 들다 아브람 애굽 거류 내려가다 기근 심하다
창세기,12,11,애굽 가까이 이르렀 아내 사래 말다 알다 그대 아리땁다 여인
창세기,12,12,애굽 그대 기르다 아내 그대 살리다
창세기,12,13,원하다 그대 하라 안전하다 목숨 보존 하니
창세기,12,14,아브람 애굽 이르렀 애굽 여인 심하다 아리따움
창세기,12,15,고관 칭찬 하므다 여인 이끌다 들이다
창세기,12,16,그로 아브람 후대 하므다 아브람 노비 암수 나귀 낙타 얻다
창세기,12,17,여호와 아브람 아내 사래 일로 크다 재앙 내리다 신지
창세기,12,18,아브람 불다 아내 내다
창세기,12,19,데리다 아내 삼다 아내 데려가다
창세기,12,20,아내 모든 소유 보내다
창세기,13,1,아브람 서로 떠나다 아브람 애굽 아내 모든 소유 게브 올라가다
창세기,13,2,아브람 가축 풍부하다
창세기,13,3,게브 떠나다 벧엘 벧엘 사이 장막 치다
창세기,13,4,처음 제단 쌓다 거기 여호와 이름 부르다
창세기,13,5,아브람 일행 장막
창세기,13,6,동거 넉넉하다 소유 많다 동거
창세기,13,7,아브람 가축 목자 가축 목자 서로 다투다 가나안 사람과 리스 거주
창세기,13,8,아브람 친족 나나 목자 목자 서로 다투다
창세기,13,9,나르다 떠나가다 좋다
창세기,13,10,들다 지역 바라보다 물이 넉넉하다 여호와 소돔 고모라 여호와 동산 애굽
창세기,13,11,지역 옮기다 서로 떠나다
창세기,13,12,아브람 가나안 거주 지역 도시 머무르다 장막 옮기다 소돔 이르렀더
창세기,13,13,소돔 여호와 악하다 크다 죄인
창세기,13,14,아브람 헤브론 옮기다 아브람 떠나다 여호와 아브람 들다 북쪽 남쪽 동쪽 서쪽 바라보다
창세기,13,15,보이다 자손 주리다 영원하다
창세기,13,16,자손 티끌 하리 티끌 자손 세리
창세기,13,17,일어나다 두루 다니다 보라 주리
창세기,13,18,아브람 장막 옮기다 헤브론 마므레 상수리 수풀 거주 거기 여호와 제단 쌓다
창세기,14,1,아브람 당시 아므라벨 엘라 아리 엘람 메다 달이
창세기,14,2,소돔 오다 고모라 비르 사오다 아드마 보임 메벨 벨라 싸우다
창세기,14,3,싯딤 골짜기 모이다
창세기,14,4,십이 메다 섬기다 배반 지라
창세기,14,5,메다 나오다 아스 드롯 가르다 르바 족속 수스 족속 사웨 기다 다임 족속
창세기,14,6,호리 족속 치다 광야 근방 바란 이르렀으
창세기,14,7,돌이키다 미스 밧다 가다 데스 아말렉 족속 하사 다말 살다 아모리 족속 친지
창세기,14,8,소돔 고모라 아드마 보임 벨라 나오다 싯딤 골짜기 전쟁 치다
창세기,14,9,엘람 메다 디달 아므라벨 엘라 아리 맞서다
창세기,14,10,싯딤 골짜기 역청 구덩이 많다 소돔 고모라 달아나다 거기 빠지다 나머지 도망
창세기,14,11,소돔 고모라 모든 재물 양식 빼앗다 가다
창세기,14,12,소돔 거주 아브람 조카 사로자다 재물 노략 가다
창세기,14,13,도망 자가 오다 브리 아브람 알리다 아브람 아모리 족속 마므레 상수리 수풀 근처 거주 마므레 에스 형제 형제 아브람 동맹 들이다
창세기,14,14,아브람 조카 사로잡히다 듣다 길리 훈련 삼백십팔 느리다 쫓아가다
창세기,14,15,가신 나뉘다 치다 부수 다메섹 호바 쫓아가다
창세기,14,16,모든 빼앗기다 재물 조카 재물 부녀 친척 찾아오다
창세기,14,17,멜기세덱 아브람 축복 아브람 메다 치다 부수 돌아오다 소돔 사웨 골짜기 골짜기 나오다 영접
창세기,14,18,살렘 멜기세덱 포도주 가지 나오다 높다 하나님 제사장
창세기,14,19,아브람 축복 천지 주다 높다 하나님 아브람 소서
창세기,14,20,대적 붙이다 높다 하나님 찬송 아브람 얻다 십분 멜기세덱 주다
창세기,14,21,소돔 아브람 내다 보내다 물품 가지
창세기,14,22,아브람 소돔 천지 주다 높다 하나님 여호와 들다 맹세
창세기,14,23,아브람 치부 오라기 들메 가닥 가지
창세기,14,24,젊은이 먹다 나오다 동행 에스 마므레 분깃 분깃 가지다
창세기,15,1,여호와 아브람 언약 세우다 여호와 말씀 환상 아브람 아브람 두렵다 말르다 방패 크다 상급
창세기,15,2,아브람 여호와 내다 주다 나이까 자식 사오다 상속 다메섹 엘리 세다
창세기,15,3,아브람 내다 주지 길린 자가 상속
창세기,15,4,여호와 말씀 상속 자가 상속
창세기,15,5,이끌다 나가다 하늘 우러러 보라 자손
창세기,15,6,아브람 여호와 믿다 여호와 여기다
창세기,15,7,주어 소유 삼다 갈대 아인 우르 이끌다 내다 여호와
창세기,15,8,여호와 소유 받다 알리다
창세기,15,9,여호와 나르다 암소 염소 숫양 산비둘기 집비둘기 새끼 가져오다
창세기,15,10,아브람 모든 가다 중간 쪼개다 쪼개다 마주 대하 놓다 새다 쪼개지다
창세기,15,11,솔개 사체 내리다 아브람 쫓다
창세기,15,12,아브람 깊다 크다 흑암 두려움
창세기,15,13,여호와 아브람 알라 자손 이방 되어다 섬기다 사백 자손 괴롭히다
창세기,15,14,섬기다 나라 징벌 자손 크다 재물 이끌다 나오다
창세기,15,15,장수 평안하다 조상 돌아가다 장사
창세기,15,16,자손 사대 돌아오다 아모리 족속 죄악 가득 차지
창세기,15,17,어두울 연기 화로 보이 횃불 쪼개다 고기 사이 지나다
창세기,15,18,여호와 아브람 더불다 언약 세우다 애굽 크다 브라 자손 주노
창세기,15,19,족속 니스 족속 갓몬 족속
창세기,15,20,족속 리스 족속 르바 족속
창세기,15,21,아모리 족속 가나안 족속 기르다 가스 족속 부스 족속
창세기,16,1,하갈 이스마엘 아브람 아내 사래 출산 여종 애굽 이요 이름 하갈
창세기,16,2,사래 아브람 여호와 출산 허락 원하다 여종 들어가다 그로 자녀 얻다 하노 아브람 사래 들다
창세기,16,3,아브람 아내 사래 여종 애굽 하갈 데리다 남편 아브람 아브람 가나안 거주 지다
창세기,16,4,아브람 하갈 동침 하갈 임신 임신 주인 멸시 지라
창세기,16,5,사래 아브람 받다 모욕 받다 옳다 여종 두다 임신 나르다 멸시 사이 여호와 판단 기르다 원하다
창세기,16,6,아브람 사래 여종 수중 좋다 사래 하갈 학대 하갈 사래 도망
창세기,16,7,여호와 사자 광야 샘물 만나다
창세기,16,8,사래 여종 하갈 오다 가늘다 여주 사래 피하 도망
창세기,16,9,여호와 사자 주인 돌아가다 수하 복종
창세기,16,10,여호와 사자 크게 번성 수가 많다 하리
